,X,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_,address,gpslat,gpslong,formattedAddress
112,536,2,1851,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,594,,ZZZ-089018,Pacific Ocean,Cook Islands,Cook Islands,Mauke island,E Shore,,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1982,12,7,0,0,0,fringing reef,exposed on top of rocks,NA,NA,,NA,,,Holothuroidea,Cook+Islands,-21.236736,-159.777671,Cook Islands
113,538,2,1944,Synaptidae,Patinapta,Patinapta,,?,0,,ZZZ-089035,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Suva, Laucala Bay",Laucala,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1985,12,1,0,0,0,"intertidal, in fine sand, front of IMR",,NA,NA,,NA,,,Holothuroidea,"Laucala,Fiji",-16.75,-179.6833333,"Laucala, Fiji"
114,539,2,1586,Holothuriidae,Holothuria,Holothuria,,,0,,ZZZ-089039,Pacific Ocean,Fiji,Fiji Islands,Taveuni Island,N Naselesele Village,Naselesele,NA,NA,NA,NA,,95% ethanol,"Paulay, G.",,1985,8,9,0,0,0,intertidal sand flat,,NA,NA,,NA,,,Holothuroidea,"Naselesele,Fiji",-16.6976233,-179.8674658,"Naselesele, Fiji"
115,540,2,2010,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,0,,ZZZ-089041,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Ilika,Ilika,NA,NA,NA,NA,,75% ethanol,"Takada, D.",Hand,1999,9,1,0,0,0,,,0.3,NA,meters,NA,,,Holothuroidea,"Ilika,USA",21.175,-156.9738889,"‘Ili‘ilikā, Hawaii 96757, USA"
116,557,2,1860,Synaptidae,Synapta maculata,Synapta,maculata,,0,,HFIJI-011A,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,S of Dravuni Village,Dravuni Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1985,7,30,0,0,0,reef,,20,NA,centimeters,NA,,,Holothuroidea,"Dravuni+Island,Fiji",-18.7624574,178.522084,"Dravuni Island, Fiji"
117,560,2,1831,Holothuriidae,Holothuria signata,Holothuria,signata,,0,,HMAK-013,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,Taunganui Harbor,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1984,12,12,0,0,0,,,NA,NA,,NA,,,Holothuroidea,Cook+Islands,-21.236736,-159.777671,Cook Islands
118,573,2,2738,Synaptidae,Synaptidae,Synaptidae,,,594,,LAK-205,Pacific Ocean,Indonesia,Bali,,"Ped at Nusa Penida, off Lembongan",Lembongan,NA,NA,NA,NA,,95% ethanol,"Kirkendale, L.",,1999,12,14,0,0,0,"flat, sandy forereef interspersed with small patch",rubble and sand patches,10,25,meters,NA,,,Holothuroidea,"Lembongan,Indonesia",-8.674944,115.444901,"Lembongan, 80771, Indonesia"
119,574,2,2785,Synaptidae,Synaptula,Synaptula,,,594,,LAK-207,Pacific Ocean,Indonesia,Bali,,"Grade School at Nusa Penida, off Lembongan",Lembongan,NA,NA,NA,NA,,95% ethanol,"Kirkendale, L.",,1999,12,18,0,0,0,"rubbly forereef interspersed with small pinnacles,",rubble and sand patches,5,15,meters,NA,,,Holothuroidea,"Lembongan,Indonesia",-8.674944,115.444901,"Lembongan, 80771, Indonesia"
120,575,2,2734,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,594,,LAK-214,Pacific Ocean,Indonesia,Bali,,"Padang Bai, Ferry Dock/jetty Area",Padang Bai,NA,NA,NA,NA,,95% ethanol,"Kirkendale, L.",,1999,12,18,0,0,0,reef flat,under rubble,1,3,meters,NA,,,Holothuroidea,"Padang+Bai,Indonesia",-8.5298984,115.5074108,"Padangbai, Manggis, Karangasem, Bali, Indonesia"
121,577,2,3635,Cucumariidae,Pseudocnella sinorbis,Pseudocnella,sinorbis,?,0,,JAS-SAFR-154-4,Indian Ocean,South Africa,Eastern Cape Province,,"Algoa Bay, White Sands 2",Algoa Bay,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1998,10,19,0,0,0,,,15,NA,meters,NA,,963,Holothuroidea,"Algoa+Bay,South+Africa",-26.2484839,28.128419,"Algoa Bay Street, Germiston 1449, South Africa"
