,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
2063,2,7418,Holothuriidae,Holothuria isuga,Holothuria,isuga,,0,Byrne-01,ZZZ-093474,,Australia,,,"One Tree Island, Great Barrier Reef","One Tree Island, Great Barrier Reef",NA,NA,NA,NA,,95% ethanol,Maria Byrne,,2007,11,NA,0,0,0,,,0,NA,,,,,Holothuroidea
2066,2,7421,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,NA,Ha CC-23,ZZZ-093475,Indian Ocean,Mascarene Islands,,,Reunion,St Gilles,NA,NA,NA,NA,,95% ethanol,C. Connand,,NA,NA,NA,0,0,0,,,NA,NA,,,,,Holothuroidea
2068,2,7814,Holothuriidae,Actinopyga agassizi,Actinopyga,agassizi,,809,FLK-15,FLK-St-01,Atlantic Ocean,USA,Florida,,"Little Duck Key, Boat Ramp on right just W of 7 mile bridge (Gulf Side)",Little Duck Key,NA,NA,NA,NA,75% ethanol,75% ethanol,"Robert Lasley, Arthur Anker, Sun Kim, Patricia Cabezas",hand collected,2008,9,6,0,0,0,"sea grass, silt",,0,2,meters,,,,Holothuroidea
2070,2,7804,Holothuriidae,Holothuria floridana,Holothuria,floridana,,809,FLK-St2-3,FLK-St-02,Atlantic Ocean,USA,Florida,,"Little Duck Key, Atlantic side, just east of Missouri Ohio Channel",Little Duck Key,NA,NA,NA,NA,75% ethanol,75% ethanol,"Robert Lasley, Arthur Anker, Sun Kim, Patricia Cabezas",hand collected,2008,9,6,0,0,0,"rubble, sea grass, lots of sponges esp logger head",,0,2,meters,,,,Holothuroidea
2079,2,4461,Holothuriidae,Holothuria unicolor,Holothuria,unicolor,,819,,ZZZ-093482,Atlantic Ocean,USA,Florida,Monroe Co.,"Big Pine Key, about 100 meters from shore",Big Pine Key,NA,NA,NA,NA,,75% ethanol,Gustav Paulay,,2006,NA,NA,0,NA,NA,,under rocks,2,NA,meters,,,,Holothuroidea
2104,2,7884,Phyllophoridae,Pentamera calcigera,Pentamera,calcigera,,822,MJKL-2,MJKL-St-01,Atlantic Ocean,USA,Georgia,,"Jekyll Island (near Brunswick), E side of island, off King Avenue beach access",Jekyll Island,NA,NA,NA,NA,,95% ethanol,Machel Malay & Jimmy Huang,,2008,12,16,0,0,0,,,0,NA,meters,,,,Holothuroidea
2174,2,8625,Holothuriidae,Holothuria pardalis,Holothuria,pardalis,,836,AUST-0861,AUST-ST-027,Pacific Ocean,Australia,Queensland,,"Lizard Island, first shallow bay E of Lumus beach",lizard island,NA,NA,NA,NA,95% ethanol,75% ethanol,Arthur Anker,hand collected,2009,2,12,0,0,0,shallow sand flat with rocks,under rock,0.2,0.7,meters,,,,Holothuroidea
2202,2,8172,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,836,AUST-0280,AUST-ST-010,Pacific Ocean,Australia,Queensland,,"Lizard Island, northern lagoon",lizard island,NA,NA,NA,NA,95% ethanol,75% ethanol,Robert Lasley,hand,2009,2,9,NA,NA,NA,sand rubble with scattered coral,rubble and under rocks,0,2,meters,,ESU2,,Holothuroidea
2218,2,8283,Holothuriidae,Labidodemas,Labidodemas,,,836,AUST-0824,AUST-ST-036,Pacific Ocean,Australia,Queensland,,"Lizard Island, 50 m W of Lumus beach",lizard island,NA,NA,NA,NA,95% ethanol,75% ethanol,"Arthur Anker, Stephanie Mifsud",hand and yabby pump,2009,2,13,NA,NA,NA,"reef flat, sediments","under large rubble/rocks, in burrows",1,1,meters,,,,Holothuroidea
2222,2,8305,Holothuriidae,Bohadschia koellikeri,Bohadschia,koellikeri,,836,AUST-0885,AUST-ST-038,Pacific Ocean,Australia,Queensland,,"Lizard Island, Hicks Reef",lizard island,NA,NA,NA,NA,95% ethanol,75% ethanol,"Molly Timmers, Greg Coleman, Charlotte Watson",hand,2009,2,14,NA,NA,NA,fore reef,in sand under rock,0,15,meters,,,,Holothuroidea
2223,2,8341,Holothuriidae,Holothuria arenicola,Holothuria,arenicola,?,836,AUST-0940,AUST-ST-041,,Australia,Queensland,,"Waining Reef, 1st snorkeling site",Waining Reef,NA,NA,NA,NA,95% ethanol,75% ethanol,"Arthur Anker, Robert Lasley","hand, dip net",2009,2,15,NA,NA,NA,"back reef flat, corals, rubble on sand",under rocks and in rubble,2,3,meters,,,,Holothuroidea
2225,2,8342,Holothuriidae,Holothuria pervicax,Holothuria,pervicax,,836,AUST-0942,AUST-ST-042,,Australia,Queensland,,"Waining Reef, 2nd snorkeling site",Waining Reef,NA,NA,NA,NA,95% ethanol,75% ethanol,"Robert Lasley, Arthur Anker","hand, dip net",2009,2,15,NA,NA,NA,"back reef flat, corals, rubble on sand",under rocks and in rubble,2,3,meters,,,,Holothuroidea
2227,2,8317,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,,836,AUST-0899,AUST-ST-043,,Australia,Queensland,,"Waining Reef, 1st dive site",Waining Reef,NA,NA,NA,NA,95% ethanol,75% ethanol,"François Michonneau, Molly Timmers",hand,2009,2,15,NA,NA,NA,"sandy reef bottom/slope, lots of rubble",under rocks and on rubble,4,6,meters,,,,Holothuroidea
2228,2,8316,Holothuriidae,Holothuria hawaiiensis,Holothuria,hawaiiensis,,836,AUST-0898,AUST-ST-044,Pacific Ocean,Australia,Queensland,,Lizard Island,lizard island,NA,NA,NA,NA,95% ethanol,75% ethanol,Molly Timmers,hand,2009,2,14,NA,NA,NA,,under rocks,NA,NA,,,odd near hawaiiensis one,,Holothuroidea
2229,2,8405,Stichopodidae,Stichopus sp 2,Stichopus,sp 2,,836,AUST-1234,AUST-ST-045,,Australia,Queensland,,"Waining Reef, 2nd dive site",Waining Reef,NA,NA,NA,NA,95% ethanol,75% ethanol,"François Michonneau, Molly Timmers",hand,2009,2,15,NA,NA,NA,"sandy reef bottom/slope, lots of rubble",under and on rocks,5,8,meters,,,,Holothuroidea
2279,2,8516,Holothuriidae,Holothuria hilla,Holothuria,hilla,,836,AUST-1710,AUST-ST-083,Pacific Ocean,Australia,Queensland,,"Lizard Island, Casuarina Beach",lizard island,NA,NA,NA,NA,95% ethanol,75% ethanol,Arthur Anker,"hand, dip net",2009,2,23,NA,NA,NA,"sand flat with rocks, corals, rubble",under massive rocks,1,2,meters,,,,Holothuroidea
2283,2,8535,Cucumariidae,Cucumariidae,Cucumariidae,,,836,AUST-1793,AUST-ST-089,Pacific Ocean,Australia,Queensland,,"Lizard Island, Snake Pit station 2",lizard island,NA,NA,NA,NA,95% ethanol,75% ethanol,"Shawn Smith, Kade Mills, Gary Cranitch","hand, rubble extraction",2009,2,24,NA,NA,NA,fore reef,coral rubble,15,15,meters,,,,Holothuroidea
2284,2,8610,Holothuriidae,Holothuria fuscopunctata,Holothuria,fuscopunctata,,836,AUST-1937,AUST-ST-091,Pacific Ocean,Australia,Queensland,,"Lizard Island, off North Point",lizard island,NA,NA,NA,NA,95% ethanol,75% ethanol,Shawn Smith,,2009,2,25,NA,NA,NA,Halimeda clumps,exposed,30,NA,meters,,,,Holothuroidea
2336,2,8862,Holothuriidae,Holothuria bacilla,Holothuria,bacilla,,837,,ZZZ-093523,Pacific Ocean,New Caledonia,New Caledonia,,Parc du Vallon dore,Vallon Doré,NA,NA,NA,NA,,75% ethanol,François Michonneau,,2009,3,16,0,0,0,high intertidal,under rock,NA,NA,,,,,Holothuroidea
2353,2,8906,Phyllophoridae,Thyone benti,Thyone,benti,aff.,NA,BFHL_645,GP-2009-BDS,,USA,Washington,San Juan County,off Friday Harbor Laboratory,Friday Harbor Laboratory,NA,NA,NA,NA,75% ethanol,75% ethanol,G. Paulay,,2009,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
2388,2,9690,Holothuriidae,Labidodemas maccullochi,Labidodemas,maccullochi,,838,,Anker-029,Pacific Ocean,Panama,,,"Taboga, Taboga channel",taboga island ,NA,NA,NA,NA,ethanol,75% ethanol,Arthur Anker et al.,,2007,2,21,0,0,0,,,NA,NA,,,,,Holothuroidea
2399,2,9025,Holothuriidae,Holothuria notabilis,Holothuria,notabilis,,NA,,ZZZ-093530,Pacific Ocean,Singapore,,,Cyrene Reef,Cyrene Reefs,NA,NA,NA,NA,,95% ethanol,S.J. Tan,,2009,3,10,NA,NA,NA,seagrass meadow,,NA,NA,,,,,Holothuroidea
2556,2,9096,Holothuriidae,Actinopyga mauritiana,Actinopyga,mauritiana,,868,AUST-3575,NIN09-St-00,Pacific Ocean,Australia,Western Australia,,Ningaloo Reef,"-22° 40.452', 113° 40.381'",NA,NA,NA,NA,95% ethanol,75% ethanol,,,2009,5,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
2659,2,9698,Holothuriidae,Holothuria arenicola,Holothuria,arenicola,,883,EG008,Anker-Egypt-01,,Egypt,,,"Red Sea coast, ~10 km N of Hurghada (Al-Ghardaqa), near Moussa Shrimp and Fish farm",hurghada,NA,NA,NA,NA,ethanol,75% ethanol,Arthur Anker,,2009,9,3,0,0,0,intertidal sand & mud flats,"some rocks and rubble, patchy seagrass",NA,NA,,,low tide; no ossicles in long muscle,,Holothuroidea
2669,2,9700,Holothuriidae,Holothuria jousseaumei,Holothuria,jousseaumei,cf.,883,EG071,Anker-Egypt-05,,Egypt,,,"Red Sea coast, ~40 km S of Hurghada (Al-Ghardaqa), 15 km N of Safaga, Soma Bay",hurghada,NA,NA,NA,NA,ethanol,75% ethanol,Arthur Anker,dip net and/or yabby pump,2009,9,5,0,0,0,"small shallow bay, abundant rocks, rubble, coral,",Caulerpa; under rocks/rubble and/or in burrow,0.5,1,metesr,,,,Holothuroidea
2670,2,13248,Holothuriidae,Holothuria lineata,Holothuria,lineata,,883,,Anker-Egypt-08,,Egypt,,,"Sinai, Aqaba Gulf, Dahab, opposite coast from lagoon",Aqaba Gulf,NA,NA,NA,NA,ethanol,75% ethanol,Arthur Anker,hand and dip net collected,2009,9,8,0,0,0,"back reef flat, numerous Diadema clusters",under rocks/rubble,1,2,meters,,,,Holothuroidea
2674,2,9681,Sclerodactyllidae,Ohshimella castanea,Ohshimella,castanea,,881,,Tardy-001,,New Caledonia,New Caledonia,,"Nouméa, Baie des Citrons","Baie des Citrons, Noumea",NA,NA,NA,NA,,75% ethanol,Emmanuel Tardy,,2008,12,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
2676,2,9683,Holothuriidae,Bohadschia,Bohadschia,,,881,,Tardy-003,,Palau,,,Koror or Airai,,NA,NA,NA,NA,,75% ethanol,Emmanuel Tardy,,2007,4,9,0,0,6,,,NA,NA,,,piece of body wall only,,Holothuroidea
2865,2,9667,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,905,94-22,Hickman-001,Pacific Ocean,Ecuador,Galapagos Islands,,"Santa Cruz, Punta Estrada","Santa Cruz, Punta Estrada",NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1994,4,29,0,0,0,coral sand bottom,under rocks,30,40,feet,,,,Holothuroidea
2866,2,9650,Holothuriidae,Holothuria zihuatanensis,Holothuria,zihuatanensis,,905,94-57,Hickman-002,Pacific Ocean,Ecuador,Galapagos Islands,,"Isla Isabela, Tagus Cove","Isla Isabela, Tagus Cove",NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1994,5,5,0,0,0,,under rock,20,NA,feet,,,,Holothuroidea
2868,2,9665,Holothuriidae,Holothuria theeli,Holothuria,theeli,,905,94-70,Hickman-003,Pacific Ocean,Ecuador,Galapagos Islands,,"Isla Isabela, Punta Moreno","Isla Isabela, Punta Moreno",NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1994,5,6,0,0,0,mid-littoral,,NA,NA,,,sponge on body,,Holothuroidea
2869,2,9666,Holothuriidae,Holothuria theeli,Holothuria,theeli,,905,94-13,Hickman-004,Pacific Ocean,Ecuador,Galapagos Islands,,"Santa Cruz, Academy Bay, in front of Charles Darwin Research Station director's house","Academy Bay, Santa Cruz",NA,NA,NA,NA,,95% ethanol,"Cleveland P. Hickman, Jr.",,1994,4,29,0,0,0,high littoral,under rock,NA,NA,,,,,Holothuroidea
2870,2,9672,Stichopodidae,Isostichopus fuscus,Isostichopus,fuscus,,905,96-19,Hickman-005,Pacific Ocean,Ecuador,Galapagos Islands,,"San Cristobal, Kicker Rock",San Cristobal,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1996,5,5,0,0,0,,under rock,21,NA,meters,,,,Holothuroidea
2871,2,9671,Stichopodidae,Stichopus horrens,Stichopus,horrens,,905,98-519,Hickman-006,Pacific Ocean,Ecuador,Galapagos Islands,,Devil's Crown,Floreana Island,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1998,8,18,0,0,0,,,35,45,feet,,,,Holothuroidea
2875,2,9669,Holothuriidae,Holothuria zihuatanensis,Holothuria,zihuatanensis,,905,,Hickman-007,Pacific Ocean,Ecuador,Galapagos Islands,,"Santa Cruz, Academy Bay, near Charles Darwin Research Station","Academy Bay, Santa Cruz",NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1990,4,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
2877,2,9113,Stichopodidae,Stichopus horrens,Stichopus,horrens,,905,97-360,Hickman-008,Pacific Ocean,Ecuador,Galapagos Islands,,"Isla Isabela, Cabo Marshall",Isla Isabela,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",scuba,1997,8,24,0,0,0,,,20,NA,feet,,,,Holothuroidea
2882,2,9641,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,905,97-32,Hickman-009,Pacific Ocean,Ecuador,Galapagos Islands,,"Gardner Island, Española",Gardner Island,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1997,3,8,0,0,0,,,50,60,feet,,,,Holothuroidea
2883,2,9657,Holothuriidae,Holothuria theeli,Holothuria,theeli,,905,96-23,Hickman-010,Pacific Ocean,Ecuador,Galapagos Islands,,Punta Pitt,San Cristobal,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1996,5,5,0,0,0,intertidal,under rocks,NA,NA,,,,,Holothuroidea
2884,2,9655,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,905,94-51,Hickman-011,Pacific Ocean,Ecuador,Galapagos Islands,,"Cabo Douglas, Isla Fernandina",Isla Fernandina,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",scuba,1994,5,4,0,0,0,,"under rock, covered with sand",30,NA,feet,,no UP (underwater photo?),,Holothuroidea
2885,2,9636,Holothuriidae,Holothuria atra,Holothuria,atra,,905,98-66,Hickman-012,Pacific Ocean,Ecuador,Galapagos Islands,,"Isla Isabela, Cartago Bay",Isla Isabela,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",scuba,1998,2,8,0,0,0,,exposed,15,NA,feet,,,,Holothuroidea
2886,2,9670,Stichopodidae,Stichopus horrens,Stichopus,horrens,,905,97-113,Hickman-013,Pacific Ocean,Ecuador,Galapagos Islands,,Rabida,Rabida,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",night dive,1997,3,13,0,0,0,,,15,40,feet,,,,Holothuroidea
2887,2,9658,Holothuriidae,Holothuria imitans,Holothuria,imitans,,905,96-12,Hickman-014,Pacific Ocean,Ecuador,Galapagos Islands,,Punta Espinosa,Isla Fernandina,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1996,5,2,0,0,0,,under rock,12,NA,meters,,,,Holothuroidea
2891,2,9117,Holothuriidae,Holothuria casoae,Holothuria,casoae,cf.,905,98-17,Hickman-016,Pacific Ocean,Ecuador,Galapagos Islands,,"Isla Isabela, Elizabeth Bay",Isla Isabela,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",scuba,1998,2,4,0,0,0,,under rock,NA,NA,,,13 cm,,Holothuroidea
2894,2,9642,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,905,95-8,Hickman-017,Pacific Ocean,Ecuador,Galapagos Islands,,Punta Cormorant,Floreana Island,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",night dive,1995,5,22,0,0,0,,exposed,NA,NA,,,,,Holothuroidea
2895,2,9649,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,905,96-5,Hickman-018,Pacific Ocean,Ecuador,Galapagos Islands,,"Isla Darwin, N side",Isla Darwin,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1996,4,29,0,0,0,,under rock,12,NA,meters,,,,Holothuroidea
2896,2,9114,Holothuriidae,Holothuria hilla,Holothuria,hilla,,905,98-536,Hickman-019,Pacific Ocean,Ecuador,Galapagos Islands,,S channel,Galapagos,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1998,8,20,0,0,0,,under rocks,15,NA,feet,,~15 cm,,Holothuroidea
2897,2,9635,Holothuriidae,Holothuria hilla,Holothuria,hilla,,905,99-29,Hickman-020,Pacific Ocean,Ecuador,Galapagos Islands,,Isla Marielas,Isla Marielas,NA,NA,NA,NA,,75% ethanol,R. Bustamante,,1999,5,31,0,0,0,,under rock,10,15,feet,,,,Holothuroidea
2898,2,9645,Holothuriidae,Holothuria theeli,Holothuria,theeli,,905,91-36,Hickman-021,Pacific Ocean,Ecuador,Galapagos Islands,,"Isla Isabela, Punta Albemarle",Isla Isabela,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1991,6,23,0,0,0,,,NA,NA,,,"entire, but dried out during storage",,Holothuroidea
2899,2,9651,Stichopodidae,Isostichopus fuscus,Isostichopus,fuscus,,905,98-503,Hickman-022,Pacific Ocean,Ecuador,Galapagos Islands,,Champion,Isla Campeon,NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1998,8,17,0,0,0,,,NA,NA,,,5 cm,,Holothuroidea
2900,2,9660,Holothuriidae,Holothuria theeli,Holothuria,theeli,,905,94-7,Hickman-023,Pacific Ocean,Ecuador,Galapagos Islands,,"Santa Cruz, Academy Bay, near Charles Darwin Research Station dining hall","Academy Bay, Santa Cruz",NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr.",,1994,4,27,0,0,0,"beach, low littoral",under stone,NA,NA,,,,,Holothuroidea
2902,2,9643,Holothuriidae,Holothuria lineata,Holothuria,lineata,,905,95-21c,Hickman-024,Pacific Ocean,Ecuador,Galapagos Islands,,"Santa Cruz, Academy Bay","Academy Bay, Santa Cruz",NA,NA,NA,NA,,75% ethanol,"Cleveland P. Hickman, Jr. & W.C. Ober",,1995,5,29,0,0,0,low littoral,in sand,NA,NA,,,,,Holothuroidea
2909,2,4469,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,873,MPERP-3,Romans-001,,France,,,"Mediterranean Sea, near Perpignan",Perpignan,NA,NA,NA,NA,,75% ethanol,Pascal Romans,,2006,NA,NA,0,NA,NA,,,0,25,meters,,,,Holothuroidea
2931,2,10749,Stichopodidae,Stichopus ocellatus,Stichopus,ocellatus,,NA,PICRC-ECH-032,PICRC,Pacific Ocean,Palau,,,Palau,,NA,NA,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
2933,2,10860,Holothuriidae,Holothuria glaberrima,Holothuria,glaberrima,,913,"SM472, SM470, SM468, SM473, SM471, SM469",Baylor-008,Atlantic Ocean,Puerto Rico,,,coral reef at La Parguera,La Parquera,NA,NA,NA,NA,isopropanol,75% ethanol,Bryce C. Brown,,1965,7,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
3091,2,11095,Synaptidae,Opheodesoma,Opheodesoma,,,NA,FMOK11-0267,FMOK11-St-48,,Japan,Ryukyus,Iriomote Island,Funaura Bay,Funaura,NA,NA,NA,NA,,95% ethanol,"T. Naruse, D. Uyeno, Y. Kitano",,2011,8,21,0,0,0,,,NA,NA,,,,,Holothuroidea
3092,2,11144,Stichopodidae,Eostichopus arnesoni,Eostichopus,arnesoni,,928,,RRW-006,Atlantic Ocean,Belize,,,"South Reef, 1.5 mi S of Carrie Bow Station",Carrie Bow Cay Field Station,NA,NA,NA,NA,70% ethanol,75% ethanol,Raphael Ritson-Williams,,2011,9,24,0,0,0,,,27,NA,meters,,,,Holothuroidea
3109,2,11310,Holothuriidae,Actinopyga,Actinopyga,,,937,AK0033,Kerr-002,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap Island,162 Yap,,NA,NA,NA,NA,denatured ethanol,75% ethanol,Emmanuel Tardy,,2009,9,25,0,0,0,,,NA,NA,,,"eviscerated, olive green with black stripes",,Holothuroidea
3118,2,11307,Synaptidae,Polyplectana,Polyplectana,,?,937,CHK-SK-016,Kerr-012,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Chuuk Island,Station 2,,NA,NA,NA,NA,denatured 95% ethanol,75% ethanol,Sun Kim,,2011,NA,NA,0,NA,NA,,,NA,NA,,,,,Holothuroidea
3119,2,11306,Synaptidae,Opheodesoma grisea,Opheodesoma,grisea,,937,CHK-SK-022,Kerr-013,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Chuuk Island,Station 5,,NA,NA,NA,NA,denatured 95% ethanol,75% ethanol,Sun Kim,,2011,NA,NA,0,NA,NA,,,NA,NA,,,,,Holothuroidea
3129,2,11290,Holothuriidae,Actinopyga,Actinopyga,,,937,AK0033 (field label AK0032),Kerr-021,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap Island,Station 16,,NA,NA,NA,NA,denatured 95% ethanol,75% ethanol,Emmanuel Tardy,,2009,9,25,0,0,0,,,NA,NA,,,green brown w/transverse black stripes on dorsum,,Holothuroidea
3130,2,11294,Holothuriidae,Holothuria roseomaculata,Holothuria,roseomaculata,,937,AK0031,Kerr-022,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap Island,"outside Colonia Harbor, Station 1",,NA,NA,NA,NA,denatured 95% ethanol,75% ethanol,Emmanuel Tardy,,2009,9,25,0,0,0,in seagrass,on sand,1,1,meters,,"blue-black w/pink papillae, eviscerated",,Holothuroidea
3187,2,11161,Stichopodidae,Eostichopus arnesoni,Eostichopus,arnesoni,,928,,RRW-007,Atlantic Ocean,Belize,,,Carrie Bow Cay,Carrie Bow Cay Field Station,NA,NA,NA,NA,,75% ethanol,Raphael Ritson-Williams,,2012,4,28,0,0,0,forereef,,80,80,feet,,with carapidae,,Holothuroidea
3409,2,11324,Holothuriidae,"Holothuria sp. ""pentard""",Holothuria,"sp. ""pentard""",,NA,,Koike-Mahe Plateau,,Seychelles,,,Mahe Plateau,Mahe,NA,NA,NA,NA,,75% ethanol,Hal Koike,,NA,NA,NA,NA,NA,NA,,,NA,NA,feet,,,,Holothuroidea
3428,2,12332,Stichopodidae,Stichopus variegatus,Stichopus,variegatus,,963,UGI-2388,UGI-Station-32,,Federated States of Micronesia,Caroline Islands,Chuuk State,"Dublon, W side of causeway",Dublon,NA,NA,NA,NA,,75% ethanol,R. H. Randall,,1977,4,5,NA,NA,NA,"lagoon fringing reef slope, on rubble/sand substra",,14,NA,meters,,,,Holothuroidea
3429,2,12272,Stichopodidae,Stichopus,Stichopus,,,963,UGI-2309,UGI-Station-335,,Federated States of Micronesia,Caroline Islands,Pohnpei State,Langar Island,Langar Island,NA,NA,NA,NA,,75% ethanol,R. Dickinson,,1976,8,11,NA,NA,NA,"in sea grass bed, north side of Langar Is.",,NA,NA,,,,,Holothuroidea
3430,2,12354,Holothuriidae,Actinopyga miliaris,Actinopyga,miliaris,,963,UGI-5752,UGI-Station-336,,Federated States of Micronesia,Caroline Islands,Kosrae State,Leluh,Leluh,NA,NA,NA,NA,,75% ethanol,Alex Kerr,,1992,7,1,NA,NA,NA,"inner reef flat, on sand",,0,1,meters,,,,Holothuroidea
3436,2,12318,Stichopodidae,Stichopus,Stichopus,,,963,UGI-2369,UGI-Station-352,,Federated States of Micronesia,Caroline Islands,Pohnpei State,N side of Langar Island,Langar Island,NA,NA,NA,NA,,75% ethanol,R. Dickinson,,1976,8,11,NA,NA,NA,in seagrass bed,,NA,NA,,,,,Holothuroidea
3437,2,12320,Stichopodidae,Stichopus,Stichopus,,,963,UGI-2372,UGI-Station-353,,Federated States of Micronesia,Caroline Islands,Pohnpei State,N side of Takatik Island,Takatik Island,NA,NA,NA,NA,,75% ethanol,R. Dickinson,,1976,8,10,NA,NA,NA,"sandy reef flat adjacent to mangrove forest, natur",,NA,NA,feet,,,,Holothuroidea
3439,2,12286,Holothuriidae,Holothuria,Holothuria,,,963,UGI-2327,UGI-Station-354,,Federated States of Micronesia,Caroline Islands,Pohnpei State,Nan Madol,Nan Madol,NA,NA,NA,NA,,75% ethanol,R. Dickinson,,1976,8,7,NA,NA,NA,sandy substrate in Enhalus bed,,NA,NA,,,,,Holothuroidea
3441,2,12270,Holothuriidae,Holothuria roseomaculata,Holothuria,roseomaculata,,963,UGI-2307,UGI-Station-356,,Federated States of Micronesia,Caroline Islands,Pohnpei State,"Nan Madol, near Nan Madol",Nan Madol,NA,NA,NA,NA,10% formalin,75% ethanol,R. Dickinson,,1976,8,1,NA,NA,NA,"Enhalis bed, sandy substrate",,1,NA,meters,,,,Holothuroidea
3442,2,12326,Holothuriidae,Holothuria coluber,Holothuria,coluber,,963,UGI-2382a,UGI-Station-384,,Federated States of Micronesia,Caroline Islands,Pohnpei State,Pohnpei,,NA,NA,NA,NA,,dry,R. Strong,,1975,12,NA,NA,NA,NA,,,NA,NA,,,living color black w/bright yellow papillae & tube feet; anterior & anus ends only; ca. 30 dm long,,Holothuroidea
3443,2,12364,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,963,UGI-5763,UGI-Station-411,,Micronesia,Caroline Islands,Kosrae State,Sialat,"5° 22.276', 163° 0.742'",NA,NA,NA,NA,,75% ethanol,Alex Kerr,,1992,8,22,NA,NA,NA,"reef flat, under coralline cobbles and Porites lut",,0,1,meters,,,,Holothuroidea
3453,2,12319,Holothuriidae,Holothuria flavomaculata,Holothuria,flavomaculata,,963,UGI-2370,UGI-Station-417,,Federated States of Micronesia,Caroline Islands,Yap State,"Tamil Channel, Tamil side",Tomil,NA,NA,NA,NA,,75% ethanol,P. O'Brien,,1976,3,24,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
3454,2,12274,Stichopodidae,Stichopus variegatus,Stichopus,variegatus,,963,UGI-2311,UGI-Station-423,,Federated States of Micronesia,Caroline Islands,Yap State,Tomil Harbor,Tomil,NA,NA,NA,NA,,75% ethanol,C. Birkeland,,1977,3,5,NA,NA,NA,"in crevice on reef margin, half-way between legisl",,NA,NA,,,,,Holothuroidea
3455,2,12333,Holothuriidae,Actinopyga echinites,Actinopyga,echinites,,963,UGI-2406,UGI-Station-425,,Federated States of Micronesia,Caroline Islands,Yap State,"Tomil Harbor, off Pekel Island",Paakeal Island,NA,NA,NA,NA,,75% ethanol,D. A. Grosenbaugh,,1977,7,9,NA,NA,NA,Enhalis-Thalassia bed on sandy substrate,,1,NA,meter,,,,Holothuroidea
3458,2,12285,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,963,UGI-2326,UGI-Station-33,,Marshall Islands,,,"Enewetak Atoll, seaward side",Enewetak Atoll,NA,NA,NA,NA,,75% ethanol,R. H. Randall,,1976,12,6,NA,NA,NA,"reef flat, in pools 2-3 cm deep at low tide, under",,NA,NA,,,,,Holothuroidea
