,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
300,2,990,Holothuriidae,Holothuria cinerascens,Holothuria,cinerascens,,0,,ZZZ-086987,Pacific Ocean,USA,Hawaiian Islands,Hawaii Island,"Oahu, Ilikai","Oahu, Ilikai",NA,NA,NA,NA,,75% ethanol,"Takaoka, J.",,1999,9,1,0,0,0,,under rock,0,3,meters,,,,Holothuroidea
305,2,1115,,Holothuroidea,Holothuroidea,,,0,,ZZZ-087230,Pacific Ocean,Nauru,Nauru,Nauru Island,Gabob Channel,,NA,NA,NA,NA,,75% ethanol,"Meyer, C. P.",,1999,10,26,0,0,0,,,12,NA,meters,,,,Holothuroidea
306,2,1121,Synaptidae,Synaptula,Synaptula,,,0,,ZZZ-087234,Pacific Ocean,Palau,,,Mouth of Tourist Jellyfish Lake Bay,Jellyfish lake,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,forereef,on sponge,3,NA,meters,,,,Holothuroidea
324,2,1276,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,0,,ZZZ-087854,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Black Rock,Black Rock,NA,NA,NA,NA,,95% ethanol,"Pittman, C.",,2002,11,11,0,0,0,,"on bottom, night",5,NA,meters,,,,Holothuroidea
337,2,1354,Stichopodidae,Stichopus,Stichopus,,,594,,BFIJI-370,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,Suva Point,Suva Point,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1988,11,1,0,0,0,on silty fringing sand flat,,NA,NA,,,,,Holothuroidea
343,2,1342,Holothuriidae,Pearsonothuria graeffei,Pearsonothuria,graeffei,,594,,BTAR-015,Pacific Ocean,Kiribati,Gilbert Islands,Tarawa Atoll,Slope of Sand Shoal in Southeast Lagoon,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1992,4,7,0,0,0,,,4,6,meters,,,,Holothuroidea
355,2,1362,Synaptidae,Opheodesoma,Opheodesoma,,,0,,HFIJI-003A,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Off East Suva, ""cowrie Patch""",Suva,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1985,6,30,0,0,0,,,0,20,meters,,,,Holothuroidea
356,2,1346,Stichopodidae,Stichopus herrmanni,Stichopus,herrmanni,cf.,0,,HFIJI-004,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"E Viti Levu, off Islet",,NA,NA,NA,NA,,75% ethanol,Gustav Paulay,,1985,7,15,0,0,0,on patch reef,,0,1.5,meters,,,,Holothuroidea
357,2,1332,Holothuriidae,Labidodemas rugosum,Labidodemas,rugosum,,594,,HFIJI-012,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Namotu Islet, 2-3 km Offshore SW Viti Levu, from Seashell Cove Resort",Namotu Island,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1982,9,24,0,0,0,,,0,10,meters,,,,Holothuroidea
358,2,1344,Holothuriidae,Pearsonothuria graeffei,Pearsonothuria,graeffei,,594,,HFIJI-013,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,20 km E of Sigatoka,Sigatoka,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1982,9,11,0,0,0,on fringing reef,,1,NA,meters,,,,Holothuroidea
359,2,1363,Holothuriidae,Holothuria parva,Holothuria,parva,,594,,HFIJI-016,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"SW Shore, Seashell Cove Resort",Seashell Cove Resort,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1982,9,25,0,0,0,,on sandy mudflat,NA,NA,,,,,Holothuroidea
360,2,1335,Holothuriidae,Actinopyga,Actinopyga,,,594,,HFIJI-017,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"SW Coast, Sea Shell Cove Resort",Seashell Cove Resort,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1982,9,25,0,0,0,in seagrass bed,on mud flat,0,1,meters,,,,Holothuroidea
361,2,1361,Holothuriidae,Holothuria edulis,Holothuria,edulis,aff.,0,,HMAK-005,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,off Kimiangatau,Kimiangatau,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1984,12,4,0,0,0,,on coral rubble,50,52,meters,,,,Holothuroidea
362,2,1322,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,0,,HMAK-009,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,off Taunganui Landing,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1984,12,7,0,0,0,,,15,18,meters,,,,Holothuroidea
363,2,1330,Holothuriidae,Actinopyga varians,Actinopyga,varians,,0,,HMAK-017,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,"West Side, on Reef",,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1984,12,18,0,0,0,,,NA,NA,,,,,Holothuroidea
378,2,1345,Holothuriidae,Holothuria whitmaei,Holothuria,whitmaei,,592,,JAS-OEN-043c,Pacific Ocean,Pitcairn Islands,Pitcairn Islands,Oeno Atoll,NW side of Island,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1997,8,4,0,0,0,patch reef,on flat coral rock,NA,NA,,,,,Holothuroidea
384,2,1339,Holothuriidae,Actinopyga,Actinopyga,,,0,,ZZZ-087889,Pacific Ocean,Palau,Koror State,,"Malakal Island, near Koror Causeway",Malakal Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,7,22,0,0,0,,,2,5,meters,,,,Holothuroidea
387,2,1326,Holothuriidae,Holothuria sp. 14,Holothuria,sp. 14,,0,,ZZZ-087906,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Makena,Makena,NA,NA,NA,NA,,75% ethanol,"Severns, P. F.",,1998,9,21,0,0,0,,,18,NA,meters,,,,Holothuroidea
388,2,1366,Stichopodidae,Stichopus horrens,Stichopus,horrens,,0,,ZZZ-087907,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Ilikai,Ilikai,NA,NA,NA,NA,,75% ethanol,"Takoaka, D.",,1999,9,1,0,0,0,,on rock,0.3,NA,meters,,,,Holothuroidea
393,2,1407,Holothuriidae,Holothuria fuscorubra,Holothuria,fuscorubra,,0,,ZZZ-087983,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Sandy Beach,Sandy Beach,NA,NA,NA,NA,,75% ethanol,"Takada, D.",,1999,8,31,0,0,0,,tidepool,NA,NA,,,,,Holothuroidea
394,2,1414,Holothuriidae,Holothuria mexicana,Holothuria,mexicana,,0,,ZZZ-088568,Atlantic Ocean,British Virgin Islands,,,Tortola,Tortola,NA,NA,NA,NA,10% formalin,75% ethanol,"Lewand, L.",,1984,5,17,0,0,0,,,NA,NA,,,,,Holothuroidea
395,2,1423,Holothuriidae,Holothuria mexicana,Holothuria,mexicana,,0,,ZZZ-088586,Atlantic Ocean,USA,Virgin Islands,St. John,Reef Bay,Reef Bay,NA,NA,NA,NA,10% formalin,75% ethanol,"Beets, J.",,1984,5,8,0,0,0,,,NA,NA,,,,,Holothuroidea
396,2,1589,Stichopodidae,Stichopus horrens,Stichopus,horrens,,611,,BPAL-094,Pacific Ocean,Palau,,,Omodes Passage in Iwayama Bay,Nikko Bay,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2003,3,5,0,0,0,,exposed,0,1,meters,,DNA: P39,,Holothuroidea
414,2,1951,Chiridotidae,Polycheira rufescens,Polycheira,rufescens,,0,,BTAI-027,Pacific Ocean,China,Taiwan,Taipei Co.,Chinshan,,NA,NA,NA,NA,95% ethanol,75% ethanol,"Paulay, G. & Liu, H.-C.",,2003,2,28,0,0,0,intertidal,under cobbles,NA,NA,,,,,Holothuroidea
421,2,1498,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,0,,ZZZ-088693,Pacific Ocean,Chile,Easter Island,Easter Island,Anakena,,NA,NA,NA,NA,,95% ethanol,"Frey, M. A.",,2003,4,19,0,0,0,tidepool,,NA,NA,,,,,Holothuroidea
