,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
38,2,2019,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,,594,,BNIUE-332,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Alofi Wharf, Terrace at Bottom of Slope",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,5,0,0,0,outer reef slope,"buried in sand, underneath large rocks",27,30,meters,,,,Holothuroidea
39,2,1983,Holothuriidae,Holothuria rigida,Holothuria,rigida,,594,,BNIUE-340,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Namukulu, Limu Reef Flat",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,7,0,0,0,"reef flat, pools",undersides of rocks,0,5,meters,,,,Holothuroidea
40,2,974,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,594,,BNIUE-340,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Namukulu, Limu Reef Flat",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,7,0,0,0,"reef flat, pools",undersides of rocks,0,5,meters,,,,Holothuroidea
41,2,1406,Holothuriidae,Holothuria signata,Holothuria,signata,,594,,BNIUE-340,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Namukulu, Limu Reef Flat",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,7,0,0,0,"reef flat, pools",undersides of rocks,0,5,meters,,,,Holothuroidea
42,2,1719,Holothuriidae,Holothuria,Holothuria,,,594,,BNIUE-376,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Avatele, just N of Boat Launch Area",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,17,0,0,0,outer reef slope,undersides of rocks or on substrate under rocks,10,15,meters,,,,Holothuroidea
43,2,1988,Holothuriidae,Holothuria pervicax,Holothuria,pervicax,,594,,BNIUE-387,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Alofi, around Wharf",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,20,0,0,0,outer reef slope,exposed on rocky substrate,9,18,meters,,,,Holothuroidea
44,2,1655,Synaptidae,Polyplectana,Polyplectana,,,594,,BNIUE-400,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Namukulu, Limu Reef Flat",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,24,0,0,0,"reef flat, pool","undersides of rocks, from substrate beneath rocks",1,1,meters,,,,Holothuroidea
45,2,1659,Holothuriidae,Holothuria hawaiiensis,Holothuria,hawaiiensis,?,594,,BNIUE-400,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Namukulu, Limu Reef Flat",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,24,0,0,0,"reef flat, pool","undersides of rocks, from substrate beneath rocks",2,5,meters,,,,Holothuroidea
46,2,7129,Synaptidae,Polyplectana,Polyplectana,,,677,PMOO-806,ZZZ-017503,Pacific Ocean,French Polynesia,Society Islands,Moorea Island,Moorea,-17.5,-149.8,NA,NA,,75% ethanol,L. Plaisance,,2006,6,NA,0,2,NA,,in dead Pocillopora head (#8),NA,NA,,,,,Holothuroidea
47,2,111,Stichopodidae,Astichopus multifidus,Astichopus,multifidus,,0,,GHB-2001-067,West Atlantic,USA,Florida,,Circa 35 mi SW of Marco Island,25.5036111111,-82.2134444444,NA,NA,,75% ethanol,"Rothrock, E.",22 foot otter trawl,2001,4,24,0,0,0,,,236,240,meters,,,not on loan,Holothuroidea
48,2,12953,,Holothuroidea,Holothuroidea,,,NA,,Kirkendale-Anae,Pacific Ocean,USA,Mariana Islands,Guam Island,Anae Islet,13.5,144.8,NA,NA,95% EtOH,75% ethanol,Lisa Kirkendale,,1999,3,12,NA,NA,NA,,under rubble,8,10,meters,,,,Holothuroidea
49,2,11092,Synaptidae,Synapta maculata,Synapta,maculata,,985,X056,ZZZ-024286,,France,Mascarene Islands,Reunion Island,,-21.115141,55.536384,NA,NA,,75% ethanol,"Thierry Hoareau, Emilie Boissin",,2011,8,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
50,2,11090,Synaptidae,Synapta maculata,Synapta,maculata,,985,X054,ZZZ-024286,,France,Mascarene Islands,Reunion Island,,-21.115141,55.536384,NA,NA,,75% ethanol,Thierry Hoareau,,2011,8,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
51,2,11091,Synaptidae,Synapta maculata,Synapta,maculata,,985,X055,ZZZ-024286,,France,Mascarene Islands,Reunion Island,,-21.115141,55.536384,NA,NA,,75% ethanol,Thierry Hoareau,,2011,8,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
52,2,6922,Holothuriidae,Actinopyga mauritiana,Actinopyga,mauritiana,,808,,ZZZ-024286,,France,Mascarene Islands,Reunion Island,,-21.115141,55.536384,NA,NA,,95% ethanol,Chantal Conand,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
53,2,6985,Holothuriidae,Actinopyga mauritiana,Actinopyga,mauritiana,,808,,ZZZ-024286,,France,Mascarene Islands,Reunion Island,,-21.115141,55.536384,NA,NA,,95% ethanol,Chantal Conand,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
54,2,14012,Phyllophoridae,Phyllophorus proteus,Phyllophorus,proteus,,NA,,ZZZ-033947,,Philippines,Visayan Ids.,,,11.0049836,122.5372741,NA,NA,,95% ethanol,M. F. J. Nievales,,2013,NA,NA,0,NA,NA,,,NA,NA,,,"photo taken of this species, but not this specimen",,Holothuroidea
55,2,1667,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,,0,,GP-Loc-554,Pacific Ocean,Papua New Guinea,Milne Bay Province,,"Louisiade Archipelago, Deboyne Islands, NW side Off Nivani Islet",-10.791,152.3846666667,NA,NA,,75% ethanol,"Paulay, G.",,1998,5,30,0,0,0,lagoon,,25,30,meters,,,,Holothuroidea
56,2,1806,Synaptidae,Synaptidae,Synaptidae,,,0,,GP-Loc-554,Pacific Ocean,Papua New Guinea,Milne Bay Province,,"Louisiade Archipelago, Deboyne Islands, NW side Off Nivani Islet",-10.791,152.3846666667,NA,NA,,75% ethanol,"Paulay, G.",,1998,5,30,0,0,0,lagoon,,3,10,meters,,,,Holothuroidea
57,2,2747,Cucumariidae,Cucumaria,Cucumaria,,,503,,R-0115,,Mexico,Quintana Roo,,"Punta Ualapich, Ca. 30 km S of Tulum",19.945846,-87.466667,NA,NA,,75% ethanol,"Vokes, H. E.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
58,2,2454,Holothuriidae,Holothuria mexicana,Holothuria,mexicana,,503,,R-0117,,Mexico,Quintana Roo,,"Cayo Norte, lagoon at N End, Banco Chinchorro",18.583333,-87.366667,NA,NA,isopropanol,75% ethanol,"Vokes, H. E.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
59,2,5951,Holothuriidae,Holothuria glaberrima,Holothuria,glaberrima,,503,,R-0129,,Honduras,Islas de la Bahia Dept.,,"Bay Islands, Guanaja Island",16.4420368,-85.8873175,NA,NA,,75% ethanol,E. H. Vokes & H. E. Vokes,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
60,2,5160,Synallactidae,Bathyplotes pourtalesi,Bathyplotes,pourtalesi,,NA,,ZZZ-048737,North America,USA,Florida,,,27.6648274,-81.5157535,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
61,2,7112,Holothuriidae,Holothuria hilla,Holothuria,hilla,,800,,ZZZ-073307,,USA,Hawaiian Islands,Oahu Island,Kaneohe Bay,21.4389123,-158.0000565,NA,NA,,75% ethanol,Sea McKeon,,2008,7,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
