Counter,InCukes,Order-current,Family-current,Subfamily,Genus-orig,Subgenus-orig,Species-orig,Region: type,other regions,Not Description,Author,Year,ref,Genus-current,Subgenus-current,species-current,ESU,Comment on sp,ZooBank LSID,Available?,Valid?,Status (WoRMS),UnacceptedReason,InUse,Have/seq'd,Known from,NotValidorAvailRef,ValRef,synonymy by,generic reassignement,other refs,Have description?,Checked?,Notes-keep,Notes,pp.,fig.,type loc,Depth,Depth_2,unit,Type type,Repository,Cat No,type notes,Museum,Type of type,Catalog number,Source,Range,RangeSource,Depthrange1,Depthrange2,Depthunits,Depthsource,Smiley_old_AuthorityAndDate,Notes: ,"from Smiley-Pawson, extracted automatically by Alex 2006, getting edited by me in temporal order"
1235,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,perfida,Antarctic,,,Vaney,1908,1908a,Cucumaria,,perfida,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,298,,Baie de la Scotia,9,10,fathoms,,,,,,,,,,,,,,,"Vaney, 1908",,
1236,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,periprocta,Antarctic,,,Vaney,1908,1908a,Cucumaria,,periprocta,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,298,,Baie de la Scotia,,,,,,,,,,,,,,,,,,"Vaney, 1908",,
124,no,Dendrochirotida,Cucumariidae,,Cladodactyla,Polyclados,nigricans,EP-N,,,Brandt,1835,1835a,Cucumaria,,piperata,,,,yes,no/yes,unaccepted,,candidate nomen oblitum,,,,,Ludwig 1881b,,,pdf,yes,senior name for C. piperata but not in use; type exists (Ludwig 1881b); Clark & Rowe 1967a proposed suppression,,44,none,Insula Sitcha,,,,,,not designated,,,,,,,,,,,,"Brandt, 1835",,
242,yes,Dendrochirotida,Cucumariidae,,Pentacta,,piperata,EP-N,,,Stimpson,1864,1864a,Cucumaria,,piperata,,,,yes,yes/no,accepted,,yes,Genbank,,,,,,,pdf,yes,Cladodactyla nigricans Brandt is a senior name according to Ludwig 1881b and type may exist; however it is largely forgotten,,161,,Puget Sound,,,,syntypes,,,,,,,,,,,,,,"Stimpson, 1864",,
1446,no,Dendrochirotida,Cucumariidae,,Cucumaria,,fisheri,EP-N,,,Wells,1924,1924a,Cucumaria,,piperata,,,,yes,no,unaccepted,,no,,,,,Lambert 1990a,,,pdf,yes,,,114-117,"fig. 1, pl. 3: fig. 1",off Monterey,12,,fathoms,USNM,E1198,,type info from Lambert 1990a,USNM,holotype,E 1198,,,,,,,,"Wells, 1924",,
162,yes,Dendrochirotida,Cucumariidae,,Pentacta,,Planciana,EA-Med,,,Delle Chiaje,1841,1841a,Cucumaria,,planciana,,,,yes,yes,accepted,,no,,,,,,,,pdf,yes,,,vol 4: 6-7,"pl. 26, fig. 8-9, 13",Naples,,,,syntypes,,,,,,,,,,,,,,"Delle Chiaje, 1841",,
1657,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,pseudocurata,EP-N,,,Deichmann,1938,1938b,Cucumaria,,pseudocurata,,,,yes,yes,accepted,,yes,Genbank,,,Lambert 1997a,,,,xerox,yes,,,104-105,fig. on p. 104,"San Mateo, southern California","not recorded, probably at low tide",,,holotype,MCZ,MCZ 356,,MCZ,syntype,356,,,,,,,,"Deichmann, 1938",,
666,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,pusilla,N Pac,,,Ludwig,1886,1886a,Cucumaria,,pusilla,,,,yes,yes,accepted,,no,,,,Savel'eva 1933a,,,,pdf,yes,,"Based on tiny, 5-11 mm long specimens",279-280,"pl. 6, figs. 6-10",various in Bering Sea,,,,5 syntypes,,,,,,,,,,,,,,,,
1754,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,sachalinica,WP-N,,,D'yakonov,1949,1949a,Cucumaria,,sachalinica,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,"validly named in 1949a, described as new in 1958a","268-270, fig. 5-7",71,pl. 19: fig. 108,SW coast of Sakhalin Island; need check Russian,5,15,m,,Zoological Institute of the USSR Academy of Sciences,,,,,,,,,,,,,,,
2000,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,salma,EP-N,,,Yingst,1972,1972a,Cucumaria,,salma,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,145-150,fig 1-3,"N face of Bird Rock, Santa Catalina Island, California",14,,meters,holotype,"Allan Hancock Foundation, University of Southern California",AHF Echinoderm Collection No. 61,,,,,,,,,,,,"Yingst, 1972",,
2055,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,savelijevae,N Pac,,,Baranova,1980,1980a,Cucumaria,,savelijevae,,,,yes,yes,accepted,,yes,,,,Levin 2006a,,,,pdf,yes,"refers to C. s. Baranova, 1977 nomen nudum",,110-115,fig. 1-4,Kamchatka; translate rest,36,,m,holotype,Zoological Institute of Academy of Sciences of USSR,1/13778,,,,,,,,,,,,,,
452,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,tenuis,IWP,,,Ludwig,1875,1875a,Cucumaria,,tenuis,,,,yes,yes,accepted,,,,,,,,,,"pdf, xerox",yes,,,86-87,fig 7,Sulawesi,,,,holotype,,,,,,,,,,,,,,"Ludwig, 1874",,
35,no,Dendrochirotida,Cucumariidae,,Holothuria,,dicquemarii,EA-N,,,de Blainville,1821,1821a,Cucumaria,,unidentified,,,,yes,nomen dubium,nomen dubium,,no,,,,,,,,pdf,yes,"often attributed to Cuvier 1817, but in Cuvier relevant bit only states: ""La fleurilarde Diquem.""; de Blainville appears to be first legit use of name; literature is unclear about which species it corresponds to",,317,,Havre: oyster beds in harbor,,,,,,,,,,,,,,,,,,,,
1750,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,Vaneyi,EP-S (subantarctic),,,Cherbonnier,1949,1949e,Cucumaria,,vaneyi,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,229-232,pl 1-2,Marguerite Bay (presqu'île de Palmer),25,,meters,holotype,,,,,,,,,,,,,,"Cherbonnier, 9999",,
699,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,vegae,N Pac,,,Théel,1886,1886a,Cucumaria,,vegae,,,,yes,yes,accepted,,yes,Genbank,,,Levin 2006a,,,,pdf,yes,,,114,nonr,Behring Island,,,,,Mus. Holm.,,,,,,,,,,,,,"Théel, 1886a",,
1266,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,vicaria,WA,,,Sluiter,1910,1910a,Cucumaria,,vicaria,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,not preoccupied by Ocnus vicaria Bell as Antarctic sp and unlikely to be same genus,336-337,fig C a-c,Barbados,,,,holotype,,,,,,,,,,,,,,"Sluiter, 1910",,
990,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,vilis,IWP,,,Sluiter,1901,1901a,Cucumaria,,vilis,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,86-87,"pl. 7, fig. 5",2 stations give,,,,syntypes,,,2 specimens,Zoologisch Museum Amsterdam,syntypes,"ZMA.E1109, ZMA.E1114","Jangoux, 1991",,,,,,,,,
375,no,Dendrochirotida,Cucumariidae,,Cucumaria,,frondosa mediterranea,EA-Med,WA-N,,Semper,1868,1868a,Cucumaria?,,Nomen dubium,,"""Since there were no other data on species occurrence in the Mediterranean and the description was based on the museum specimens, it is not reliable"" Levin & Gudimova 2000a",,yes,nomen dubium,nomen dubium,,no,,,,,Levin & Gudimova 2000a,,,xerox,yes,,"described in mid paragraph; ""Since there were no other data on species occurrence in the Mediterranean and the description was based on the museum specimens, it is not reliable"" Levin & Gudimova 2000a",235,,,,,,,,,,,,,,,,,,,,"Semper, 1868",,
20,no,Dendrochirotida,Cucumariidae,,Holothuria,,minuta,Arctic,,,Fabricius,1780,1780a,Cucumariidae,,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,Clark & Rowe 1967a,,,,,pdf,yes,,Greenland,354-355,,Greenland,littoral,,,,,,,,,,,,,,,,,,,
62,no,Dendrochirotida,Cucumariidae,,Holothuria,,dissimilis,WA-N,,,Fleming,1828,1828a,Cucumariidae,,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,Theel 1886a; Clark & Rowe 1967a,,,,,pdf,yes,"“A Cucumaria according to Theel (1886); an unidentifiable Cucumariid according to Mortensen (1927)” Clark & Rowe, 1967",,483,,Leith Shore,,,,holotype,,,,,,,,,,,,,,,,
64,no,Dendrochirotida,Cucumariidae,,Holothuria,,Neillii,WA-N,,,Fleming,1828,1828a,Cucumariidae?,,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,Theel 1886a; Clark & Rowe 1967a,,,,,pdf,yes,"""unidentifiable according to Mortensen (1927)"" Clark & Rowe, 1967",,483,,Frith of Forth; Cape Wrath,,,,syntypes,,,,,,,,,,,,,,,,
2237,yes,Dendrochirotida,Cucumariidae,,Cucuvitrum,,rowei,temp Aust,,,O'Loughlin & O'Hara,1992,1992a,Cucuvitrum,,rowei,,,,yes,yes,accepted,,,n/y,,,post 1990,,,,pdf,yes,,,232-234,"pl 1b, 3a-g, fig 2","Victoria, Cape Paterson, just below tide level",0,28,meters,holotype,,NMV F57356,,,,,,,,,,,,not in Smiley,,
2473,yes,Dendrochirotida,Cucumariidae,,Dendrelasia,,sicinski,Antarctic,,,O'Loughlin in O'Loughlin et al,2013,2013a,Dendrelasia,,sicinski,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,70-73,figs 1-3,"South Shetland Islands, King George Island, Admiralty Bay, near Shag Point, OC−293, bottom trawl, mud, gravel, stones",200,250,m,holotype,NMV,NMV F189855,,,,,,"South Shetland Islands, King George Island, Admiralty Bay, near Shag Point, OC−293",O'Loughlin et al 2013a,200,250,m,O'Loughlin et al 2013a,,,
49,no,Dendrochirotida,Cucumariidae,,Holothuria,,lapidifera,WA,,,Lesueur,1824,1824a,Dendrochirotida,,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,Clark & Rowe 1967a,,,,,pdf,yes,,,160-161,none,St. Bartholomews,,,,,,,,,,,,,,,,,,,,
527,no,Dendrochirotida,Cucumariidae,,Colochirus,,colloradiatus,IWP,,,Haacke,1880,1880a,Dendrochirotida,,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,Theel 1886a; Clark & Rowe 1967a; Cherbonnier 1970b,,,,,"pdf, xerox",yes,considered too poorly known to evaluate by Cherbonnier 1970b; type lost - Ludwig 1883a,"Ludwig 1883 notes not at Kieler Museum, so could not evaluate",47,none,Mauritius,,,,,,,,,,,,,,,,,,"Haacke, 1880",,
528,no,Dendrochirotida,Cucumariidae,,Colochirus,,propinquus,IWP,,,Haacke,1880,1880a,Dendrochirotida,,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,Theel 1886a; Clark & Rowe 1967a,,,,,"pdf, xerox",yes,,"Ludwig 1883 notes not at Kieler Museum, so could not evaluate",47,none,Mauritius,,,,,,,,,,,,,,,,,,"Haacke, 1880",,
174,no,Dendrochirotida,Cucumariidae,,Anaperus,,cigaro,WA-N,,,Troschel,1846,1846a,Ekmania,,barthii,,,,yes,no,unaccepted,,no,,,,,,,,pdf,yes,,,63,,Labrador,,,,,"Zoological Museum, Berlin (likely not there - see Hansen & McKenzie, 1991a)",,,,,,,,,,,,,,,
177,yes,Dendrochirotida,Cucumariidae,,Orcula,,Barthii,WA-N,EA-N,,Troschel,1846,1846a,Ekmania,,barthii,,,,yes,yes,accepted,,yes,,,,"Hansen & McKenzie, 1991a",,"Hansen & McKenzie, 1991a",,pdf,yes,"redescribed by Hansen & McKenzie, 1991a",,64,,"near George's Bank, Massachusetts (neotype)",,,,neotype,USNM,23787,"neotype designated by Hansen & McKenzie, 1991a",USNM,neotype,23787,,,,,,,,"Troschel, 1846",,
646,no,Dendrochirotida,Cucumariidae,,Orcula,,luminosa,N Atl,,,Lampert,1885,1885a,Ekmania,,barthii,,,,yes,no,unaccepted,,no,,,,,"Heding & Panning, 1954",,,pdf,yes,,,253-254,,Greenland,,,,syntypes,Stuttg. Nat.-Kab.,,SMNK collection apparently destroyed in WWII,,,,,,,,,,,"Lampert, 1885",,
1361,yes,Dendrochirotida,Cucumariidae,,Phyllophorus,,cylindricus,WP-N,,,Ohshima,1915,1915a,Ekmania,,cylindricus,,,,yes,yes,accepted,,yes,,,,,,"Hansen & McKenzie, 1991a",,RP,yes,,,276-277,"pl 11, fig 28 a-b","Albatross Station 5021, off Cape Terpyeniya, Sakhalin",,,,holotype,,USNM 34179,"“type specimens of most of the new species described by Ohshima … 1915 are no longer in existence; a few survive, and are deposited in ,,, NMNH) – Liao et al 2007: 37” see O’Loughlin & Ahearn 2005",USNM,holotype,34179,,,,,,,,"Ohshima, 1915",,
1363,yes,Dendrochirotida,Cucumariidae,,Phyllophorus,,glaucus,WP-N,,,Ohshima,1915,1915a,Ekmania,,glaucum,,,,yes,yes,accepted,,yes,,,,,,"Hansen & McKenzie, 1991a",,RP,yes,,,277-278,"pl 11, fig 29 a-c","Albatross Station 4782, Aleutian Islands",,,,holotype,,USNM 34180,"“type specimens of most of the new species described by Ohshima … 1915 are no longer in existence; a few survive, and are deposited in ,,, NMNH) – Liao et al 2007: 37” see O’Loughlin & Ahearn 2005",USNM,holotype,34180,,,,,,,,"Ohshima, 1915",,
1545,yes,Dendrochirotida,Cucumariidae,,Thyone,,solida,WA,,,Deichmann,1930,1930a,Euthyonacta,,solida,,,,yes,yes,accepted,,yes,,,,Pawson et al 2009a,,Deichmann 1954a; Pawson & Miller 1981a,,original,yes,,,172-173,"pl 15, fig 11-17; pl 16, fig 1-2","""Albatross"" station 2369",,,,holotype,USNM,,,USNM,holotype,E 16253,,,,,,,,"Deichmann, 1930",,
1845,yes,Dendrochirotida,Cucumariidae,,Hemioedema,,albofusca,EA,,,Cherbonnier,1958,1858f,Hemioedema,,albofusca,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,325-328,fiig. 3,port of Dakar,,,,holotype,,,,,,,,,,,,,,"Cherbonnier, 9999",,
1528,yes,Dendrochirotida,Cucumariidae,,Hemioedema,,Gruveli,EA,,,Hérouard,1929,1929a,Hemioedema,,gruveli,,,,yes,yes,accepted,,yes,,,,Massin 1993b,,,,pdf,yes,,,45-47,"pl I, fig 4; textfig 2A-2H","Port-Etienne, Maroc",,,,syntypes,MNHN,7013,"type info from Massin 1993b, who calls it holotype, but original description does not designate a type, there are two specimens, though one is commented on as being in better shape",,,,,,,,,,,"Hérouard, 1929",,
2001,yes,Dendrochirotida,Cucumariidae,,Hemioedema,,multipodia,EA,,,Cherbonnier,1973,1973a,Hemioedema,,multipodia,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,1161-1164,fig 1 A-D; fig 2 A-R,"Gulf of Guinea, située entre la parallèle de Banana et celui de la frontière de Cabinda",10,15,meters,holotype,,,,,,,,,,,,,,"Cherbonnier, 1973",,
616,no,Dendrochirotida,Cucumariidae,,Thyone,,cunninghami,WA-S,,,Bell,1883,1883a,Hemioedema,,spectabilis,,,,yes,no,unaccepted,,no,,,,,,,,xerox,yes,,,60,"pl XV, fig 4","Dungeness, Patagonia",,,,holotype,,,,,,,,,,,,,,"Bell, 1883",,
617,no,Dendrochirotida,Cucumariidae,,Thyone,,meridionalis,Subantarctic,,,Bell,1883,1883a,Hemioedema,,spectabilis,,,,yes,no,unaccepted,,no,,,,,,,,xerox,yes,,,59-60,"pl XV, fig 3","Possession Bay, Straits of Magellan",,,,syntypes,,,,,,,,,,,,,,"Bell, 1883",,
621,yes,Dendrochirotida,Cucumariidae,,Thyone,,spectabilis,Subantarctic,,,Ludwig,1883,1883a,Hemioedema,,spectabilis,,,,yes,yes,accepted,,yes,,,,,,Panning (1957) according to O'Loughlin (2000),,pdf,yes,,,162-163,,Straits of Magellan,,,,holotype,Kieler Museum,,,,,,,,,,,,,"Ludwig, 1883",,
1470,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,denticulata,Antarctic,,,Ekman,1927,1927a,Heterocucumis,,denticulata,,,,yes,yes,accepted,,yes,,,,O'Loughlin et al 2010,,"O'Loughlin, 2002a",,pdf,yes,,,393-396,fig 14,"Winterstation, 66°S",350,385,meters,syntypes,,,,,,,,,,,,,,"Ekman, 1927",,
324,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,godeffroyi,EP-S,,,Semper,1867,1868a,Heterocucumis,,godeffroyi,,,,yes,yes,accepted,,yes,n/y,,,O'Loughlin 2010a,,"O'Loughlin, 2002a",,xerox,yes,,,53,"pl. 15, fig. 12, 14","Iquique, W coast, S America",,,,holotype,Museum Godeffroy,,,,,,,,,,,,,"Semper, 1868",,
911,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,steineni,Subantarctic,,,Ludwig,1898,1898e,Heterocucumis,,steineni,,,,yes,yes,accepted,,yes,n/y,,,O'Loughlin et al 2010a,,"Massin 1994, McLoughlin 2002",,pdf,yes,,,30-32,"pl. 2, fig. 22-24",Kerguelen Island,,,,,Hamburg Museum,7651,,,,,,,,,,,,"Ludwig, 1898",,
1145,no,Dendrochirotida,Cucumariidae,,Cucumaria,,antarctica,Antarctic,,,Vaney,1906,1906b,Heterocucumis,,steineni,,,,yes,no,unaccepted,,no,,,,,"O'Loughlin, 2002a",,,pdf,yes,further described and figured in Vaney 1906c,,403,,"Ile Wandel, plage sour galets; Baie Biscoe, baie Carthage",40,110,m,syntypes,,,,,,,,,,,,,,"Vaney, 1907",6-10,"pl 1 fig 3, 8; pl 2 fig 26"
1331,no,Dendrochirotida,Cucumariidae,,Cucumaria,,Godfroyi,Antarctic,,,Vaney,1914,1914a,Heterocucumis,,steineni,,,,yes,no,unaccepted,,no,,,,,"O'Loughlin, 2002a",,,pdf,yes,,,11-12,"pl IV, fig 1-5","No. 169, Dredge VII, 68°34'S 72°05'W, environ. near la Terre Alexandre",250,,meters,syntypes,,,,,,,,,,,,,,"Vaney, 1914b",,
2432,yes,Dendrochirotida,Cucumariidae,,Lanceophora,,lanceolata,EA,,,"Thandar, Zettler & Arumugam",2010,2010a,Lanceophora,,lanceolata,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,14-17,fig. 8-9,"AHAB-9, stn. -88, dredge, Angola, 7.235° S, 12.684° E",41,,m,holotype,SAM,SAM A28101,fixed in formalin,,,,,,,,,,,,,
1749,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,Souriei,EA,,,Cherbonnier,1949,1949a,Lanceophora,,souriei,,,,yes,yes,accepted,,yes,,,,"Thandar, Zettler & Arumugam, 2010",,"Thandar, Zettler & Arumugam, 2010",,pdf,yes,,,580-584,figs. 1-3,Dakar,,,,holotype,,,,,,,,,,,,,,"Cherbonnier, 1949",,
1215,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,bacilliformis,IWP,,,Koehler & Vaney,1908,1908a,Leptopentacta,,bacilliformis,,,,yes,yes,accepted,,,,,,,,Clark & Rowe 1971a: 194,,pdf,yes,,,34-35,"pl. II, Fig. 4-6","Andaman Ids, 8-20 fm",,,,,,"Syntypes in Indian Museum, Calcutta",,,,,,,,,,,,"Koehler & Vaney, 1908",,
1752,yes,Dendrochirotida,Cucumariidae,,Parocnus,,cabindaensis,EA,,,Cherbonnier,1949,1949c,Leptopentacta,,cabindaensis,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,also described in Cherbonnier 1949d,,163-164,"pl. 2, fig. 26-38","W Africa: Cabinda, off phare de Cabinda",7,8,brasses,syntypes,IRSN Brussels,,,IRSNB,lectotype,IG 11555,"Jangoux & Massin, 1986",,,,,,,"Cherbonnier, 1949",,
53,yes,Dendrochirotida,Cucumariidae,,Holothuria,,cucumer,EA-Med,,,Risso,1826,1826a,Leptopentacta,,cucumis,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,"Koehler, 1927 lists it as Cucumaria cucumis",spelling appears to have shifted in lit - need follow,291,,golfe de Nice,,,,,,,,,,,,,,,,,,,,
147,no,Dendrochirotida,Cucumariidae,,Holothuria,,fusiformis,EA-N,,,Forbes & Goodsir,1839,1839a,Leptopentacta,,elongata,,,,yes,no,unaccepted,,no,,,,,Mortensen 1927a,,,xerox,yes,syn by Mortensen w/ ?,cited w/ description and figure in Forbes 1841 in Cucumaria,647,,Orkney or Shetland (not specified),,,,syntypes,,,,,,,,,,,,,,"Forbes & Goodsir, 1839",,
170,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,elongata,EA-N,,,Düben & Koren,1846,1846a,Leptopentacta,,elongata,,,,yes,yes,accepted,,yes,,,,"Picton 1993a, Madsen & Hansen 1994a",,,,pdf,yes,,in Trachythyone in Baranova & Savel'eva 1972a,301-302,"pl XI, fig 56b; pl IV, fig 14A, 14B",Bohuslänska Archipelago (W Sweden),,,,"lectotype: specimen figured in plate 11 fig 56b, designated by Madsen & Hansen 1994a, presumed lost",,,,,,,,,,,,,,"Düben & Koren, 1844",,
192,no,Dendrochirotida,Cucumariidae,,Thyonidium,,asper,WA-N,,,Ayres,1851,1851a,Leptopentacta,,elongata,,,,yes,no?,species inquirenda,,no,,,,,,,,xerox,yes,"current synonymy implies name is also a junior homonym of Cucumaria elongata, now Leptopentacta elongata; however that species is from EA-N",is described as new in paper,60-61,,George's Bank,30,,fathoms,holotype,,,,,,,,,,,,,,"Ayres, 1854",,
1633,yes,Dendrochirotida,Cucumariidae,,Leptopentacta,,grisea,IWP,,,Clark,1938,1938a,Leptopentacta,,grisea,,,,yes,yes,accepted,,yes,,,,"Rowe & Gates, 1995",,,,original,yes,,,453-455,fig 37,Broome,,,,holotype,,,,MCZ,holotype,1588,,,,,,,,"Clark, 1938",,
334,yes,Dendrochirotida,Cucumariidae,,Ocnus,,imbricatus,IWP,,,Semper,1867,1868a,Leptopentacta,,imbricata,,,,yes,yes,accepted,,no,,,,,,,,xerox,yes,,,54-55,"pl 11, fig 2; pl 13, fig 12-13; pl 14, fig 12-13",Bohol,8,10,fathoms,,,,,MCZ,syntype,279,,,,,,,,"Semper, 1868",,
715,no,Dendrochirotida,Cucumariidae,,Ocnus,,typicus,IWP,,,Théel,1886,1886a,Leptopentacta,,imbricata,,,,yes,no,unaccepted,,no,,,,,suggested by Deichmann  1941a,,,pdf,yes,,,75-76,"pl XIV, fig 11; pl VI, fig 10",Hong Kong,10,,fathoms,syntypes,,,,,,,,,,,,,,"Théel, 1886a",,
1702,yes,Dendrochirotida,Cucumariidae,,Leptopentacta,,nina,EP,,,Deichmann,1941,1941a,Leptopentacta,,nina,,,,yes,yes,accepted,,yes,,,,Alvarado et al 2010,,,,original,yes,,,97-98,"pl 15, fig 1-12","Ecuador, Cape San Francisco, Station 850-38",15,,fathoms,holotype,,,,,,,,,,,,,,"Deichmann, 1941",,
1703,yes,Dendrochirotida,Cucumariidae,,Leptopentacta,,nova,EP,,,Deichmann,1941,1941a,Leptopentacta,,nova,,,,yes,yes,accepted,,,,,,,,,,original,yes,,,95-96,"pl 14, fig 13-22; text fig 3","Baja California, W of Hughes Point, Santa Maria Bay, Station 281-34",35,40,fathoms,holotype,,,,,,,,,,,,,,"Deichmann, 1941",,
1704,yes,Dendrochirotida,Cucumariidae,,Leptopentacta,,panamica,EP,,,Deichmann,1941,1941a,Leptopentacta,,panamica,,,,yes,yes,accepted,,,,,,,,,,original,yes,,,96-97,"pl 14, fig 6-12; text fig 2","Colombia, Port Utria, close to shore, N of point and W of islands",20,,fathoms,holotype,,,,,,,,,,,,,,"Deichmann, 1941",,
1870,yes,Dendrochirotida,Cucumariidae,,Leptopentacta,,punctabipedia,IWP,,,Cherbonnier,1961,1961a,Leptopentacta,,punctabipedia,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,425-428,"fig 1, a-t; fig 2, a-b","Station 97/2, Hon Mieu Island, 12°11'15""N 109°13'30""E; Station 240/1 & Station 240/2, 12°15'45""N 109°12'20""E; Station 333, 12°17'20""N 109°12'12""E",8.5 & 9 & 4,,meters,syntypes,,,,,,,,,,,,,,"Cherbonnier, 1960",,
1753,yes,Dendrochirotida,Cucumariidae,,Parocnus,,ransoni,EA,,,Cherbonnier,1949,1949c,Leptopentacta,,ransoni,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,also described in Cherbonnier 1949d,,164-165,"pl. 3, fig. 1-18","W Africa: Cabinda, off phare de Cabinda",7,8,brasses,syntypes,IRSN Brussels,,,IRSNB,"holotype, paratype",IG 11555,"Jangoux & Massin, 1986",,,,,,,"Cherbonnier, 1949",,
230,yes,Dendrochirotida,Cucumariidae,,Cucumaria,,tergestina,EA-N,,,Sars M,1857,1857a,Leptopentacta,,tergestina,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,71-74,"pl. 1: fig. 36-38, pl. 2: fig. 36-40",Mediterranean (need translate for exact loc),,,,,,,,,,,,,,,,,,"Sars, 1857",,
672,no,Dendrochirotida,Cucumariidae,,Siphothuria,,incurvata,EA-N,,,Perrier E,1886,1886a,Leptopentacta,,tergestina,,,,yes,no,unaccepted,,no,,,,,Koehler 1927a according to Pawson in litt,,,pdf,yes,,"Pawson, David wrote, On 9/20/2010 9:15 AM: Siphothuria incurvata was first mentioned by E. Perrier (1886), with an illustration (was this a description???).  Then in 1902 R. Perrier described Cucumaria incurvata nov.sp., listing under this n.sp. name two literature citations:  R. Perrier 1898 Comptes Rendus CXXV! P. 1665, and R. Perrier 1899 Bull Mus. D'Hist. Nat Paris V, p. 300.  Also listed in R. Perrier 1902 as a synonym (!) of Cucumaria incurvata nov. sp. is:  ""Syn.: Siphothuria incurvata, E. Perrier Les Expl. sous-marines 1886, p.286, fig. 202. So, four references to the species incurvata, and which one can be taken as the valid description, etc???  The bloody Perrier boys did this many times, as you probably know. Then, in discussing Cucumaria tergestina Sars, 1857, Koehier (1927) Les Echinodermes des mers d'Europe lists ""C. incurvata"" as a junior synonym.  So that's where it sits today, although tergestina is known today, apparently, as Leptopentacta tergestina (M. sars, 1857).",285,fig. 202,N Atlantic,99,,m,syntypes,,,,,,,,,,,,,,,,
925,no,Dendrochirotida,Cucumariidae,,Cucumaria,,incurvata,EA-N,,,Perrier R,1898,1898a,Leptopentacta,,tergestina,,,,no,no,unaccepted,not an available name,no,,,,,Koehler 1927a according to Pawson in litt,,,pdf,yes,generic reassignment only of Siphothuria incurvata,,1666,,,,,,,,,,,,,,,,,,,,"Perrier R, 1898",,
1994,yes,Dendrochirotida,Cucumariidae,,Leptopentacta (?),,D'yakonovi,EA-Med,,,Baranova & Savel'eva,1972,1972a,Leptopentacta (?),,dyakonovi,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,279,"pl I, fig 5-6","41o24'N, 23o55'E",,,,holotype,Zoological Institute of Academy of Sciences of USSR,1/20372,,,,,,,,,,,,,,
2121,yes,Dendrochirotida,Cucumariidae,,Loisettea,,amphictena,IWP,,,Rowe & Pawson,1985,1985a,Loisettea,,amphictena,,,,yes,yes,accepted,,,,,,post 1980,,,,RP,yes,,,673-677,fig 1-3,"NW Australia, 17deg38'S 121deg27'E",78,,m,holotype,Australian Museum,J1427,,,,,,,,,,,,"Rowe & Pawson, 1985",,
808,yes,Dendrochirotida,Cucumariidae,,Colochirus,,gazellae,IWP,,,Lampert,1889,1889a,Loisettea,,gazellae,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,also described in Lampert 1889b; unclear yet which description has priority,clearly described as new in 1889 paper; probably 1885 attribution is in error,823-825,fig 5,"Dampier Islands, Mermaidstrasse",2.5,7.5,fathoms,syntypes,,,,Vienna Museum; MCZ,syntypes,11523; 236,"Jangoux & deRidder, 1990",,,,,,,"Lampert, 1889",,
